epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,946.594,1.32191,11.2415,0.02667,0.36495,0.40938,0.35417,0.19731,1.53097,5.07084,0.04765,0.000333205,0.000333205,0.000333205
2,1796.95,1.29937,2.58964,0.02524,0.50533,0.58818,0.54345,0.30713,1.47319,1.88861,0.04304,0.000650042,0.000650042,0.000650042
3,2635.63,1.24506,1.80125,0.02368,0.6313,0.63881,0.65134,0.4129,1.36558,1.3813,0.03925,0.000950378,0.000950378,0.000950378
4,3471.41,1.18481,1.5341,0.02203,0.61121,0.71041,0.70136,0.45203,1.23062,1.18965,0.03381,0.00092575,0.00092575,0.00092575
5,4313.38,1.12393,1.34134,0.02057,0.68172,0.69105,0.74015,0.46853,1.32177,1.1315,0.03734,0.000901,0.000901,0.000901
6,913.412,1.06132,1.21307,0.01914,0.72976,0.73674,0.80238,0.50327,1.29145,0.93393,0.03553,0.00087625,0.00087625,0.00087625
7,1771.14,1.05043,1.15795,0.01881,0.74266,0.75555,0.79732,0.51094,1.28438,0.89897,0.03525,0.0008515,0.0008515,0.0008515
8,2604.91,1.00417,1.10209,0.01793,0.73807,0.73332,0.78969,0.51541,1.24136,0.92062,0.03371,0.00082675,0.00082675,0.00082675
9,3447.29,0.98213,1.02476,0.01722,0.756,0.71763,0.78021,0.48326,1.29546,0.91256,0.03465,0.000802,0.000802,0.000802
10,4297.2,0.94441,0.97071,0.01652,0.77982,0.78127,0.83474,0.55175,1.21047,0.83022,0.03248,0.00077725,0.00077725,0.00077725
11,5138.17,0.93723,0.94021,0.01634,0.76147,0.76365,0.81778,0.51828,1.27607,0.82227,0.03518,0.0007525,0.0007525,0.0007525
12,5992.12,0.93227,0.90475,0.01626,0.82983,0.80657,0.8695,0.57217,1.21326,0.71853,0.03235,0.00072775,0.00072775,0.00072775
13,905.409,0.88678,0.84197,0.01525,0.83945,0.81012,0.86488,0.56549,1.22359,0.70861,0.03264,0.000703,0.000703,0.000703
14,1736.59,0.88234,0.83457,0.01518,0.84062,0.80227,0.86196,0.56998,1.16764,0.75345,0.03071,0.00067825,0.00067825,0.00067825
15,2561.97,0.85164,0.80627,0.01467,0.78895,0.79702,0.85787,0.57321,1.1777,0.73227,0.03203,0.0006535,0.0006535,0.0006535
16,3388.89,0.84008,0.77661,0.01423,0.80593,0.83613,0.8713,0.56854,1.23335,0.68457,0.03352,0.00062875,0.00062875,0.00062875
17,4213.07,0.82584,0.75861,0.01404,0.80525,0.77983,0.85379,0.57038,1.14606,0.7219,0.02988,0.000604,0.000604,0.000604
18,5039.14,0.81653,0.72208,0.01388,0.79433,0.82279,0.87126,0.58679,1.14551,0.72194,0.02974,0.00057925,0.00057925,0.00057925
19,5865.04,0.79737,0.71036,0.01351,0.84961,0.83585,0.8823,0.58609,1.18123,0.65628,0.03106,0.0005545,0.0005545,0.0005545
20,6689.21,0.81027,0.73649,0.01368,0.8548,0.84511,0.89645,0.59982,1.15268,0.62354,0.0304,0.00052975,0.00052975,0.00052975
21,916.693,0.76558,0.65236,0.01274,0.83499,0.85479,0.8977,0.60769,1.13993,0.64496,0.02991,0.000505,0.000505,0.000505
22,1744.46,0.77014,0.65526,0.01294,0.85813,0.82836,0.90166,0.60198,1.1768,0.62741,0.03138,0.00048025,0.00048025,0.00048025
23,2573.52,0.74855,0.62979,0.01253,0.82447,0.85143,0.89288,0.61132,1.10776,0.63398,0.02829,0.0004555,0.0004555,0.0004555
24,3410.99,0.7306,0.60774,0.01203,0.84149,0.84729,0.88664,0.59947,1.1395,0.63047,0.02937,0.00043075,0.00043075,0.00043075
25,4252.33,0.7149,0.58919,0.01179,0.83482,0.8512,0.89574,0.61291,1.09887,0.60882,0.02787,0.000406,0.000406,0.000406
26,5081.75,0.70253,0.56697,0.01155,0.88987,0.85153,0.91568,0.62753,1.10133,0.55872,0.02802,0.00038125,0.00038125,0.00038125
27,5925.03,0.68893,0.55669,0.01132,0.87842,0.86376,0.91116,0.62347,1.10933,0.54797,0.02814,0.0003565,0.0003565,0.0003565
