epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,379.977,1.10069,3.7915,0.01863,0.65504,0.64073,0.67522,0.43015,1.3179,1.45197,0.03443,0.000332821,0.000332821,0.000332821
2,697.062,1.10599,1.42241,0.01886,0.60036,0.61238,0.62768,0.39076,1.36594,1.55652,0.03604,0.000649667,0.000649667,0.000649667
3,1007.17,1.09994,1.28493,0.01867,0.73488,0.71817,0.76874,0.45396,1.47404,1.01263,0.04075,0.000950013,0.000950013,0.000950013
4,1321.26,1.06308,1.18974,0.01789,0.71522,0.74189,0.80266,0.50812,1.2658,0.95037,0.0324,0.00092575,0.00092575,0.00092575
5,1633.01,1.00473,1.07303,0.01648,0.72458,0.73276,0.76574,0.49807,1.26961,1.00914,0.03183,0.000901,0.000901,0.000901
6,1941.5,0.95929,1.00535,0.01576,0.7328,0.76071,0.80497,0.52135,1.23,0.87985,0.03172,0.00087625,0.00087625,0.00087625
7,2253.13,0.93398,0.95484,0.01499,0.74678,0.81519,0.83463,0.5495,1.22387,0.75133,0.02999,0.0008515,0.0008515,0.0008515
8,2568.24,0.89518,0.88693,0.01436,0.79146,0.80366,0.85377,0.55529,1.17316,0.75899,0.02934,0.00082675,0.00082675,0.00082675
9,2883.72,0.86975,0.8274,0.01394,0.78706,0.82986,0.87829,0.57815,1.18758,0.69215,0.02956,0.000802,0.000802,0.000802
10,3192.7,0.84561,0.82391,0.01338,0.83423,0.83767,0.89718,0.59051,1.19204,0.63902,0.02964,0.00077725,0.00077725,0.00077725
11,3503.73,0.81848,0.77553,0.01283,0.79316,0.84304,0.87996,0.5737,1.1991,0.68835,0.02977,0.0007525,0.0007525,0.0007525
12,3812.83,0.80568,0.74062,0.01278,0.83202,0.84823,0.88949,0.59927,1.13791,0.66268,0.02754,0.00072775,0.00072775,0.00072775
13,4130.4,0.78351,0.72689,0.01223,0.84777,0.84825,0.90397,0.60511,1.1361,0.63987,0.02767,0.000703,0.000703,0.000703
14,4441.81,0.76935,0.69975,0.01198,0.86058,0.84179,0.89784,0.61854,1.10149,0.62073,0.02647,0.00067825,0.00067825,0.00067825
15,4754.31,0.76313,0.68727,0.01179,0.84757,0.87429,0.91262,0.61635,1.12761,0.58907,0.02714,0.0006535,0.0006535,0.0006535
16,5062.59,0.7472,0.66176,0.01147,0.86524,0.85618,0.9101,0.61799,1.11243,0.60369,0.02656,0.00062875,0.00062875,0.00062875
17,5369.91,0.73324,0.62128,0.01131,0.84633,0.86453,0.89676,0.60799,1.13296,0.63427,0.02715,0.000604,0.000604,0.000604
18,5677.45,0.70971,0.60572,0.01081,0.84573,0.83049,0.88675,0.6013,1.11307,0.6499,0.02657,0.00057925,0.00057925,0.00057925
19,5983.19,0.69658,0.5985,0.0107,0.86983,0.86779,0.9128,0.63121,1.07418,0.56384,0.0251,0.0005545,0.0005545,0.0005545
20,6295.01,0.69155,0.57372,0.01039,0.86192,0.86261,0.91826,0.63265,1.09006,0.59316,0.02622,0.00052975,0.00052975,0.00052975
21,6607.28,0.67805,0.56441,0.01029,0.87722,0.8972,0.93336,0.64295,1.07998,0.54316,0.02536,0.000505,0.000505,0.000505
22,6918.76,0.66218,0.54014,0.01006,0.85342,0.88348,0.91624,0.62723,1.08882,0.5832,0.02536,0.00048025,0.00048025,0.00048025
23,7230.73,0.65481,0.52348,0.0099,0.8864,0.85671,0.91661,0.63598,1.06093,0.56895,0.02496,0.0004555,0.0004555,0.0004555
24,7538.21,0.63817,0.51578,0.00964,0.87608,0.88498,0.91807,0.64434,1.05838,0.54474,0.02443,0.00043075,0.00043075,0.00043075
25,7848.88,0.63093,0.50827,0.00935,0.88918,0.87816,0.92266,0.64267,1.05465,0.54934,0.02484,0.000406,0.000406,0.000406
26,8156.53,0.61702,0.48365,0.00924,0.88465,0.89531,0.92769,0.64675,1.06162,0.51036,0.02478,0.00038125,0.00038125,0.00038125
27,8469.63,0.60907,0.47404,0.00909,0.88147,0.88392,0.91887,0.63593,1.06872,0.53949,0.02516,0.0003565,0.0003565,0.0003565
28,8776.81,0.59845,0.46045,0.00887,0.90657,0.88642,0.93171,0.63926,1.08173,0.50725,0.02495,0.00033175,0.00033175,0.00033175
29,9085.67,0.57553,0.45216,0.00854,0.88799,0.90198,0.93278,0.6503,1.04154,0.501,0.02388,0.000307,0.000307,0.000307
30,9399.53,0.5842,0.43435,0.00848,0.8984,0.90824,0.93174,0.65165,1.04237,0.50219,0.02393,0.00028225,0.00028225,0.00028225
31,9701.88,0.55685,0.27991,0.01129,0.89756,0.88606,0.92796,0.64251,1.06727,0.51202,0.02472,0.0002575,0.0002575,0.0002575
32,9999.83,0.52795,0.25613,0.01063,0.9057,0.91169,0.93737,0.64711,1.06738,0.50811,0.02481,0.00023275,0.00023275,0.00023275
33,10294.9,0.51317,0.2401,0.01019,0.90264,0.90708,0.93073,0.65615,1.034,0.49711,0.02375,0.000208,0.000208,0.000208
34,10596.1,0.49644,0.22595,0.00976,0.89706,0.89341,0.92952,0.65285,1.04749,0.51393,0.02413,0.00018325,0.00018325,0.00018325
35,10891.1,0.48386,0.22029,0.00946,0.90923,0.89902,0.93146,0.65157,1.05179,0.50895,0.02418,0.0001585,0.0001585,0.0001585
