epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3145.26,1.06994,2.28434,1.4577,0.63651,0.65952,0.64272,0.41633,1.27224,1.46719,1.5973,0.000332821,0.000332821,0.000332821
2,3400.68,0.96732,1.49594,1.35053,0.53262,0.6749,0.65612,0.40094,1.36329,1.53211,1.72363,0.000649667,0.000649667,0.000649667
3,3645.34,0.94462,1.28354,1.32051,0.6864,0.68885,0.72592,0.47781,1.21739,1.14344,1.50519,0.000950013,0.000950013,0.000950013
4,3893.25,0.91063,1.17922,1.29128,0.69541,0.79393,0.79647,0.50812,1.2542,1.10392,1.52546,0.00092575,0.00092575,0.00092575
5,4143.07,0.8583,1.08046,1.25551,0.74123,0.71027,0.76509,0.50515,1.25081,1.03347,1.53795,0.000901,0.000901,0.000901
6,4394.77,0.82752,1.01294,1.23421,0.66318,0.77048,0.79306,0.52109,1.20377,1.00761,1.46767,0.00087625,0.00087625,0.00087625
7,4651.16,0.79704,0.95059,1.2082,0.74901,0.79977,0.83652,0.56686,1.13011,0.89798,1.40554,0.0008515,0.0008515,0.0008515
8,4904.81,0.76921,0.9051,1.19502,0.74665,0.7495,0.80289,0.55687,1.15292,0.94155,1.43114,0.00082675,0.00082675,0.00082675
9,5158.45,0.74803,0.85711,1.17759,0.74536,0.76861,0.8239,0.56386,1.15711,0.88033,1.4352,0.000802,0.000802,0.000802
10,5409.81,0.73186,0.83727,1.16695,0.78221,0.83045,0.86961,0.59711,1.11501,0.80499,1.37515,0.00077725,0.00077725,0.00077725
11,5663.35,0.71232,0.79879,1.15149,0.81549,0.79323,0.87344,0.59261,1.12661,0.78197,1.39868,0.0007525,0.0007525,0.0007525
12,5915.61,0.69969,0.77558,1.1511,0.82747,0.84635,0.89044,0.58883,1.13654,0.78432,1.3854,0.00072775,0.00072775,0.00072775
13,6166.1,0.68619,0.7521,1.13301,0.80665,0.84596,0.88371,0.60927,1.06432,0.7727,1.33702,0.000703,0.000703,0.000703
14,6421.48,0.67477,0.73681,1.12781,0.81534,0.83715,0.87664,0.60237,1.10368,0.78128,1.36334,0.00067825,0.00067825,0.00067825
15,6671.45,0.67326,0.72012,1.12368,0.83458,0.858,0.90631,0.62307,1.05817,0.7032,1.32772,0.0006535,0.0006535,0.0006535
